,Survived,Pclass,Sex,Age,Fare
799,0,3,1,30,7.2292
800,0,3,0,30,24.15
803,1,1,1,11,120
804,1,3,1,0.42,8.5167
805,1,3,1,27,6.975
806,0,3,1,31,7.775
807,0,1,1,39,0
808,0,3,0,18,7.775
809,0,2,1,39,13
810,1,1,0,33,53.1
811,0,3,1,26,7.8875
812,0,3,1,39,24.15
813,0,2,1,35,10.5
815,0,3,1,30.5,8.05
817,0,3,0,23,7.925
818,0,2,1,31,37.0042
819,0,3,1,43,6.45
820,0,3,1,10,27.9
821,1,1,0,52,93.5
824,1,3,0,27,12.475
825,0,3,1,2,39.6875
828,1,2,1,1,37.0042
830,1,1,0,62,80
832,1,2,1,0.83,18.75
834,0,3,1,23,7.8542
835,0,3,1,18,8.3
837,0,3,1,21,8.6625
839,1,3,1,32,56.4958
845,0,3,1,17,8.6625
846,0,3,1,42,7.55
848,0,3,1,35,7.8958
851,0,3,1,4,31.275
852,0,3,1,74,7.775
854,1,1,0,16,39.4
855,0,2,0,44,26
856,1,3,0,18,9.35
857,1,1,0,45,164.8667
859,1,3,0,24,19.2583
862,0,2,1,21,11.5
863,1,1,0,48,25.9292
865,0,2,1,24,13
866,1,2,0,42,13
868,0,1,1,31,50.4958
870,1,3,1,4,11.1333
871,0,3,1,26,7.8958
872,1,1,0,47,52.5542
873,0,1,1,33,5
874,0,3,1,47,9
875,1,2,0,28,24
876,1,3,0,15,7.225
878,0,3,1,19,7.8958
880,1,1,0,56,83.1583
881,1,2,0,25,26
882,0,3,1,33,7.8958
883,0,3,0,22,10.5167
884,0,2,1,28,10.5
885,0,3,1,25,7.05
886,0,3,0,39,29.125
887,0,2,1,27,13
890,1,1,1,26,30
891,0,3,1,32,7.75
